Member ID,Name,Vote,Party,Constituency,County,Profile URL
membership:ee1d8cd2bfd518c0bee4155b597778d07fdd1356b39edadb06300f84796aa012,Abdi Ali Abdi,Yes,NAP-K,Ijara,Garissa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdi-ali/
membership:d5877ca900afab5c181615daa51994d9f157cf1ffa9c0f8f4f93ec415ed0988b,Abdirahman Mohamed,Yes,JP,Lafey,Mandera,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abdirahman-mohamed-abdille/
membership:3a4dc3235266bc97483c696e7b20cd144b86fe16d17b52619560d96a9d2e74e0,Abubakar Talib,Yes,WDM-K,—,Mombasa,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/abubakar-talib-ahmed/
membership:fd2b8cc7cc13e8934bc8b966fcdcea273e61042dc753bd6b4cad03e2a5b4566e,Adagala Beatrice,Yes,ANC,—,Vihiga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/adagala-beatrice-kahai/
membership:f93cc0d9ae3ea55247b06818056a92a913ea15ea8840a6d2d5108ff5396ab1c8,Pareyio Mantaine Agnes,Yes,JP,Narok North,Narok,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/agnes-mantaine-pareyio/
membership:ecbc3efb90a38df6ca122c59686f223c76523f44e49e4423f551e0468386807a,Alfah Ondieki Miruka,Yes,UDA,Bomachoge Chache,Kisii,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/alfah-miruka-ondieki/
membership:c0cd4a2a025c038ea53f5436462d6030b1bd23f7359af574f49e5b77a9c3dc20,Abdisirat Khalif,Yes,UDA,—,Mandera,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ali-abdisirat-khalif/
membership:e93bf4897ee730f9f5206a591401feec865464bec1645997cbead0ca51476421,Abdullahi Amina Dika,Yes,KANU,—,Tana River,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/amina-dika-abdullahi/
membership:ead63526002d43047a18083d6f2ba83180c3b4fdf5a91f26a61be1e65281218b,Ichung’wah Antony Kimani,Yes,UDA,Kikuyu,Kiambu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/anthony-kimani-ichungwah/
membership:859fe948c70339b6e88e17ddce72e13660d28d063d91406a4945e117f4d95754,Bartoo Phyllis Jepkemoi,Yes,UDA,Moiben,Uasin Gishu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/bartoo-phyllis-jepkemoi/
membership:e112e1a1cfff6333d2f26c18087be65e59451344730bdde18a7c608c39907337,Baya Owen Yaa,Yes,UDA,Kilifi North,Kilifi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/baya-owen-yaa/
membership:17918fd2d9cd2ec2c491eb4192612500abab78fedf3c68e0f9775fbd89db9183,Biego Paul Kibichiy,Yes,UDA,Chesumei,Nandi,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/biego-paul-kibichiy/
membership:2c3808b3cf50bb802d1439a4cdd108edbb39da66ac31b5b880cea4f70ae100a3,Bowen David Kangogo,Yes,UDA,Marakwet East,Elgeyo Marakwet,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/david-kangongo-bowen/
membership:ba50a7e6831ebd577d85c5a5addf17e938cdbcc85efd0b3e371e2483b52eae57,Mule Caleb Mutiso,Yes,MCCP,Machakos Town,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/caleb-mule-mutiso/
membership:30f9d530afd9742b85786c36057c98926d1f85d7daf285115d6c20d591daa7a5,Omondi Caroli,Yes,ODM,Suba South,Homa Bay,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/caroli-omondi/
membership:3a4038557c3af83fb33d192929ea92cf4d0fc8fe14c849380a30ba062ff2bb4a,Cecilia Asinyen Ngitit,Yes,UDA,—,Turkana,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/cecilia-asinyen-ngitit/
membership:f19583f92a935bf90bb4eb48616359f9cff75976f9798adee02eb806aceb4414,Charles Gumini Gimose,Yes,ANC,Hamisi,Vihiga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/charles-gumini-gimose/
membership:aa590198ddb651f3a43995845d981faaf96f1643cd4351722d5aff974b11158d,Chelule Liza Chepkorir,Yes,UDA,—,Nakuru,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/chelule-liza-chepkorir/
membership:00a1c18890dd04505ba841a51e731796f012ce21deebbb734735c165864e4eed,Chiforomodo Mangale,Yes,UDM,Lunga Lunga,Kwale,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/chiforomodo-mangale-munga/
membership:00a4fd1a929f129747c9829c4bded9a80b01845e203a264ff756b54362fdf5fc,Dido Ali. Rasso,Yes,UDA,Saku,Marsabit,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/col-rtd-ali-rasso-dido/
membership:a9954184b17fb105b8c387228e7aef1b678f9eb67c4b234408f9bf8814525edd,Daniel Epuyo Nanok,Yes,UDA,Turkana West,Turkana,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/daniel-epuyo-nanok/
membership:653c5030be854a3d60f5523c3972a650aee100a6a6b0029e40562d9e2a5b9669,David Gikaria,Yes,UDA,Nakuru Town East,Nakuru,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/david-gikaria/
membership:2c9ebcd21bf92dbc04a84dfea84cbcc0cbe3a927776694a6213166d1a324df55,Kiplagat David,Yes,UDA,Soy,Uasin Gishu,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/david-kiplagat/
membership:8e4c6c4fdce08e20b75c55d42b6ee827b0acffa5b237f2e199049eeb0265090b,Mathenge Duncan Maina,Yes,UDA,Nyeri Town,Nyeri,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/duncan-maina-mathenge/
membership:d6d08a6e395ab6984d3a28a16009a7b9beca17afd79623815c983bf5065942f5,Mutuse Eckomas Mwengi,Yes,MCCP,Kibwezi West,Makueni,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/eckomas-mwengi-mutuse/
membership:722b05c8bec33fc4ea3c1e077a1b7cbd4a6a0fd07d1d0adb5b0ed605cfa53f1a,Emmanuel Wangwe,Yes,ODM,Navakholo,Kakamega,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/emmanuel-wangwe/
membership:b8a9f8f43d4a5d2b092d8f1a188ae7fbf357515c99661d18bc19d695167584a6,Kagesi Ernest Ogesi Kivai,Yes,ANC,Vihiga,Vihiga,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ernest-ogesi-kivai/
membership:7d52dfe47d4355a04ff007e37608567789106c393bfd0a9083f59534c83a55ee,Muli Fabian Kyule,Yes,GDDP,Kangundo,Machakos,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/fabian-kyule-muli/
membership:768d82107d63ea6a23abb1d6fc6b769e49bc77039cf1ccf3789c04b011902eb1,Gitau Faith Wairimu,Yes,UDA,—,Nyandarua,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/faith-wairimu-gitau/
membership:a6eeeb4dbb3eb274aee7b57ba2ca46bc95142938c02ca7aa6ae98d2053cc5249,Wanyonyi Kevin Ferdinand,Yes,FORD-KENYA,Kwanza,Trans Nzoia,https://mzalendo.com/mps-performance/national-assembly/13th-parliament/ferdinard-kevin-wanyonyi/
