ID,Title,Date,House,Yes,No,Results,URL
7,The Constitution of Kenya (Amendment) Bill 4 of 2025,2025-07-01,National Assembly,298,0,Yes 298 / No 0 / Spoilt 0 / Abstained 0 / Absent 42,https://mzalendo.com/research-and-knowledge/voting-patterns/na/7/
2,Rigathi Gachagua Impeachment,2024-10-08,National Assembly,280,44,Yes 280 / No 44 / Spoilt 0 / Abstained 1 / Absent 26,https://mzalendo.com/research-and-knowledge/voting-patterns/na/2/
6,Consideration of Report of the  Committee of the Whole Finance Bill 2024,2024-06-25,National Assembly,196,109,Yes 196 / No 109 / Spoilt 2 / Abstained 0 / Absent 40,https://mzalendo.com/research-and-knowledge/voting-patterns/na/6/
1,Finance Bill 2024 (2nd Reading),2024-06-20,National Assembly,192,105,Yes 192 / No 105 / Spoilt 2 / Abstained 0 / Absent 46,https://mzalendo.com/research-and-knowledge/voting-patterns/na/1/
3,CS Linturi Impeachment Motion,2024-05-02,National Assembly,145,36,Yes 145 / No 36 / Spoilt 0 / Abstained 3 / Absent 164,https://mzalendo.com/research-and-knowledge/voting-patterns/na/3/
23,"The Affordable Housing Bill, 2023",2024-02-20,National Assembly,117,51,Yes 117 / No 51 / Spoilt 0 / Abstained 0 / Absent 0,https://mzalendo.com/research-and-knowledge/voting-patterns/na/23/
5,Finance Bill 2023 - 2nd Reading,2023-06-22,National Assembly,171,79,Yes 171 / No 79 / Spoilt 0 / Abstained 0 / Absent 101,https://mzalendo.com/research-and-knowledge/voting-patterns/na/5/
22,Finance Bill 2023 — 35% top income tax band,2023-06-20,National Assembly,73,161,Yes 73 / No 161 / Spoilt 0 / Abstained 0 / Absent 0,https://mzalendo.com/research-and-knowledge/voting-patterns/na/22/
21,"The Finance Bill, 2023",2023-06-14,National Assembly,224,0,Yes 224 / No 0 / Spoilt 0 / Abstained 0 / Absent 0,https://mzalendo.com/research-and-knowledge/voting-patterns/na/21/
20,Extension Of Sitting Time Until Conclusion Of Business,2022-12-01,National Assembly,79,11,Yes 79 / No 11 / Spoilt 0 / Abstained 0 / Absent 0,https://mzalendo.com/research-and-knowledge/voting-patterns/na/20/
